STATE/UT,DISTRICT,YEAR,RAPE
KERALA,ALAPUZHA,2004,12
KERALA,ALAPUZHA,2005,22
KERALA,ALAPUZHA,2006,15
KERALA,ALAPUZHA,2007,25
KERALA,ALAPUZHA,2008,16
KERALA,ALAPUZHA,2009,26
KERALA,ALAPUZHA,2010,40
KERALA,ALAPUZHA,2011,56
KERALA,ALAPUZHA,2012,44
UTTAR PRADESH,ALIGARH,2001,50
UTTAR PRADESH,ALIGARH,2002,31
UTTAR PRADESH,ALIGARH,2003,24
UTTAR PRADESH,ALIGARH,2004,58
UTTAR PRADESH,ALIGARH,2005,61
UTTAR PRADESH,ALIGARH,2006,49
UTTAR PRADESH,ALIGARH,2007,50
UTTAR PRADESH,ALIGARH,2008,62
UTTAR PRADESH,ALIGARH,2009,58
UTTAR PRADESH,ALIGARH,2010,63
UTTAR PRADESH,ALIGARH,2011,66
UTTAR PRADESH,ALIGARH,2012,64
MADHYA PRADESH,ALIRAJPUR,2008,41
MADHYA PRADESH,ALIRAJPUR,2009,31
MADHYA PRADESH,ALIRAJPUR,2010,27
MADHYA PRADESH,ALIRAJPUR,2011,24
MADHYA PRADESH,ALIRAJPUR,2012,22
UTTAR PRADESH,ALLAHABAD,2001,42
UTTAR PRADESH,ALLAHABAD,2002,40
UTTAR PRADESH,ALLAHABAD,2003,21
UTTAR PRADESH,ALLAHABAD,2004,23
UTTAR PRADESH,ALLAHABAD,2005,17
UTTAR PRADESH,ALLAHABAD,2006,22
UTTAR PRADESH,ALLAHABAD,2007,26
UTTAR PRADESH,ALLAHABAD,2008,49
UTTAR PRADESH,ALLAHABAD,2009,38
UTTAR PRADESH,ALLAHABAD,2010,33
UTTAR PRADESH,ALLAHABAD,2011,67
UTTAR PRADESH,ALLAHABAD,2012,52
UTTARAKHAND,ALMORA,2001,4
UTTARAKHAND,ALMORA,2002,3
UTTARAKHAND,ALMORA,2003,1
UTTARAKHAND,ALMORA,2004,1
UTTARAKHAND,ALMORA,2005,6
UTTARAKHAND,ALMORA,2006,11
UTTARAKHAND,ALMORA,2007,6
UTTARAKHAND,ALMORA,2008,2
UTTARAKHAND,ALMORA,2009,4
UTTARAKHAND,ALMORA,2010,3
UTTARAKHAND,ALMORA,2011,3
