city,lat,lng,admin,population
Ongole,15.503565,80.044541,Andhra Pradesh,202860
Puri,19.798254,85.824938,Odisha,201026
Dindigul,10.362853,77.975827,Tamil Nādu ,200797
Haldia,22.025278,88.058333,West Bengal,200762
Bulandshahr,28.403922,77.857731,Uttar Pradesh,198612
Purnea,25.776703,87.473655,Bihār,198453
Proddatūr,14.7502,78.548129,Andhra Pradesh,197451
Gurgaon,28.460105,77.026352,Haryāna,197340
Khānāpur,21.273716,76.117376,Mahārāshtra,197233
Machilīpatnam,16.187466,81.13888,Andhra Pradesh,192827
Bhiwāni,28.793044,76.13968,Haryāna,190855
Nandyāl,15.477994,78.483605,Andhra Pradesh,188654
Bhusāval,21.043649,75.785058,Mahārāshtra,183001
Bharauri,27.598203,81.694709,Uttar Pradesh,182218
Tonk,26.168672,75.786111,Rājasthān,181734
Sirsa,29.534893,75.028981,Haryāna,181639
Vizianagaram,18.11329,83.397743,Andhra Pradesh,179358
Vellore,12.905769,79.137104,Tamil Nādu ,177081
Alappuzha,9.494647,76.331108,Kerala,176783
Shimla,31.104423,77.166623,Himāchal Pradesh,173503
Hindupur,13.828065,77.491425,Andhra Pradesh,168312
Bāramūla,34.209004,74.342853,Jammu and Kashmīr,167986
Bakshpur,25.894283,80.792104,Uttar Pradesh,166480
Dibrugarh,27.479888,94.90837,Assam,166366
Saidāpur,27.598784,80.75089,Uttar Pradesh,164435
Navsāri,20.85,72.916667,Gujarāt,163000
Budaun,28.038114,79.126677,Uttar Pradesh,161555
Cuddalore,11.746289,79.764362,Tamil Nādu ,158569
Harīpur,31.463218,75.986418,Punjab,158142
Krishnāpuram,12.869617,79.719469,Tamil Nādu ,155029
Fyzābād,26.775486,82.150182,Uttar Pradesh,153047
Silchar,24.827327,92.797868,Assam,152393
Ambāla,30.360993,76.797819,Haryāna,146787
Krishnanagar,23.405761,88.490733,West Bengal,145926
Kolār,13.137679,78.129989,Karnātaka,144625
Kumbakonam,10.959789,79.377472,Tamil Nādu ,139264
Tiruvannāmalai,12.230204,79.072954,Tamil Nādu ,138243
Pīlibhīt,28.631245,79.804362,Uttar Pradesh,131008
Abohar,30.144533,74.19552,Punjab,130603
Port Blair,11.666667,92.75,Andaman and Nicobar Islands,127562
Alīpur Duār,26.4835,89.522855,West Bengal,127342
Hatīsa,27.592698,78.013843,Uttar Pradesh,126882
Vālpārai,10.325163,76.955299,Tamil Nādu ,114308
Aurangābād,24.752037,84.374202,Bihār,95929
Kohima,25.674673,94.110988,Nāgāland,92113
Gangtok,27.325739,88.612155,Sikkim,77900
Karūr,10.960277,78.076753,Tamil Nādu ,76915
Jorhāt,26.757509,94.203055,Assam,69033
Panaji,15.498289,73.824541,Goa,65586
Saidpur,34.318174,74.457093,Jammu and Kashmīr,63035
Tezpur,26.633333,92.8,Assam,58851
Itanagar,27.102349,93.692047,Arunāchal Pradesh,44971
Daman,20.414315,72.83236,Damān and Diu,39737
Silvassa,20.273855,72.996728,Dādra and Nagar Haveli,27359
Diu,20.715115,70.987952,Damān and Diu,23779
Dispur,26.135638,91.800688,Assam,16140
Kavaratti,10.566667,72.616667,Lakshadweep,10688
Calicut,11.248016,75.780402,Kerala,0
Kagaznāgār,19.331589,79.466051,Andhra Pradesh,0
Jaipur,26.913312,75.787872,Rājasthān,0
Ghandinagar,23.216667,72.683333,Gujarāt,0
Panchkula,30.691512,76.853736,Haryāna,0
