STATE/UT,DISTRICT,YEAR,THEFT
KERALA,ALAPUZHA,2007,351
KERALA,ALAPUZHA,2008,348
KERALA,ALAPUZHA,2009,304
KERALA,ALAPUZHA,2010,287
KERALA,ALAPUZHA,2011,268
KERALA,ALAPUZHA,2006,254
KERALA,ALAPUZHA,2002,244
KERALA,ALAPUZHA,2012,231
KERALA,ALAPUZHA,2005,224
KERALA,ALAPUZHA,2001,195
KERALA,ALAPUZHA,2004,173
KERALA,ALAPUZHA,2003,170
UTTAR PRADESH,ALIGARH,2012,1350
UTTAR PRADESH,ALIGARH,2011,1260
UTTAR PRADESH,ALIGARH,2009,1116
UTTAR PRADESH,ALIGARH,2010,1068
UTTAR PRADESH,ALIGARH,2005,885
UTTAR PRADESH,ALIGARH,2004,804
UTTAR PRADESH,ALIGARH,2006,772
UTTAR PRADESH,ALIGARH,2001,727
UTTAR PRADESH,ALIGARH,2008,701
UTTAR PRADESH,ALIGARH,2007,680
UTTAR PRADESH,ALIGARH,2002,576
UTTAR PRADESH,ALIGARH,2003,454
MADHYA PRADESH,ALIRAJPUR,2008,86
MADHYA PRADESH,ALIRAJPUR,2012,82
MADHYA PRADESH,ALIRAJPUR,2010,69
MADHYA PRADESH,ALIRAJPUR,2009,60
MADHYA PRADESH,ALIRAJPUR,2011,59
UTTAR PRADESH,ALLAHABAD,2011,1390
UTTAR PRADESH,ALLAHABAD,2012,1307
UTTAR PRADESH,ALLAHABAD,2010,899
UTTAR PRADESH,ALLAHABAD,2001,850
UTTAR PRADESH,ALLAHABAD,2009,773
UTTAR PRADESH,ALLAHABAD,2008,763
UTTAR PRADESH,ALLAHABAD,2002,642
UTTAR PRADESH,ALLAHABAD,2007,606
UTTAR PRADESH,ALLAHABAD,2004,579
UTTAR PRADESH,ALLAHABAD,2006,523
UTTAR PRADESH,ALLAHABAD,2005,487
UTTAR PRADESH,ALLAHABAD,2003,359
UTTARAKHAND,ALMORA,2001,55
UTTARAKHAND,ALMORA,2002,55
UTTARAKHAND,ALMORA,2005,48
UTTARAKHAND,ALMORA,2003,47
UTTARAKHAND,ALMORA,2007,42
UTTARAKHAND,ALMORA,2009,37
UTTARAKHAND,ALMORA,2006,36
UTTARAKHAND,ALMORA,2008,30
UTTARAKHAND,ALMORA,2004,27
UTTARAKHAND,ALMORA,2012,21
UTTARAKHAND,ALMORA,2010,15
UTTARAKHAND,ALMORA,2011,12
RAJASTHAN,ALWAR,2012,3220
RAJASTHAN,ALWAR,2010,2128
RAJASTHAN,ALWAR,2011,1818
RAJASTHAN,ALWAR,2009,1611
RAJASTHAN,ALWAR,2008,1272
RAJASTHAN,ALWAR,2007,1241
RAJASTHAN,ALWAR,2004,1138
RAJASTHAN,ALWAR,2003,1121
RAJASTHAN,ALWAR,2005,1094
RAJASTHAN,ALWAR,2006,1093
RAJASTHAN,ALWAR,2001,964
RAJASTHAN,ALWAR,2002,964
HARYANA,AMBALA,2011,655
HARYANA,AMBALA,2010,652
HARYANA,AMBALA,2006,438
HARYANA,AMBALA,2009,421
HARYANA,AMBALA,2008,419
HARYANA,AMBALA,2007,366
HARYANA,AMBALA,2001,365
HARYANA,AMBALA,2002,331
HARYANA,AMBALA,2005,275
HARYANA,AMBALA,2004,243
HARYANA,AMBALA,2003,208
HARYANA,AMBALA RURAL,2012,209
HARYANA,AMBALA URBAN,2012,600
UTTAR PRADESH,AMBEDKAR NAGAR,2008,131
UTTAR PRADESH,AMBEDKAR NAGAR,2010,130
UTTAR PRADESH,AMBEDKAR NAGAR,2007,126
UTTAR PRADESH,AMBEDKAR NAGAR,2005,123
UTTAR PRADESH,AMBEDKAR NAGAR,2012,123
UTTAR PRADESH,AMBEDKAR NAGAR,2001,116
UTTAR PRADESH,AMBEDKAR NAGAR,2009,113
UTTAR PRADESH,AMBEDKAR NAGAR,2011,113
UTTAR PRADESH,AMBEDKAR NAGAR,2004,108
UTTAR PRADESH,AMBEDKAR NAGAR,2006,105
UTTAR PRADESH,AMBEDKAR NAGAR,2002,96
UTTAR PRADESH,AMBEDKAR NAGAR,2003,59
