STATE/UT,DISTRICT,YEAR,THEFT
PUNJAB,FATEHGARH SAHIB,2006,59
PUNJAB,FATEHGARH SAHIB,2005,49
PUNJAB,FATEHGARH SAHIB,2004,46
PUNJAB,FATEHGARH SAHIB,2002,38
PUNJAB,FATEHGARH SAHIB,2003,30
UTTAR PRADESH,FATEHPUR,2011,139
UTTAR PRADESH,FATEHPUR,2008,133
UTTAR PRADESH,FATEHPUR,2001,132
UTTAR PRADESH,FATEHPUR,2012,131
UTTAR PRADESH,FATEHPUR,2010,115
UTTAR PRADESH,FATEHPUR,2009,111
UTTAR PRADESH,FATEHPUR,2002,99
UTTAR PRADESH,FATEHPUR,2004,89
UTTAR PRADESH,FATEHPUR,2005,80
UTTAR PRADESH,FATEHPUR,2007,80
UTTAR PRADESH,FATEHPUR,2006,79
UTTAR PRADESH,FATEHPUR,2003,62
PUNJAB,FAZILKA,2012,133
PUNJAB,FAZILKA,2011,100
PUNJAB,FEROZEPUR,2003,250
PUNJAB,FEROZEPUR,2002,168
PUNJAB,FEROZEPUR,2004,165
PUNJAB,FEROZEPUR,2001,115
PUNJAB,FEROZPUR,2008,320
PUNJAB,FEROZPUR,2009,282
PUNJAB,FEROZPUR,2010,214
PUNJAB,FEROZPUR,2007,199
PUNJAB,FEROZPUR,2012,189
PUNJAB,FEROZPUR,2006,175
PUNJAB,FEROZPUR,2005,153
PUNJAB,FEROZPUR,2011,141
UTTAR PRADESH,FIROZABAD,2012,635
UTTAR PRADESH,FIROZABAD,2008,442
UTTAR PRADESH,FIROZABAD,2009,417
UTTAR PRADESH,FIROZABAD,2004,411
UTTAR PRADESH,FIROZABAD,2011,389
UTTAR PRADESH,FIROZABAD,2006,359
UTTAR PRADESH,FIROZABAD,2005,358
UTTAR PRADESH,FIROZABAD,2007,318
UTTAR PRADESH,FIROZABAD,2010,293
UTTAR PRADESH,FIROZABAD,2001,292
UTTAR PRADESH,FIROZABAD,2002,229
UTTAR PRADESH,FIROZABAD,2003,186
PUNJAB,G.R.P,2009,59
PUNJAB,G.R.P,2012,55
PUNJAB,G.R.P,2011,52
PUNJAB,G.R.P,2006,51
PUNJAB,G.R.P,2010,47
PUNJAB,G.R.P,2008,45
PUNJAB,G.R.P,2001,41
PUNJAB,G.R.P,2007,34
PUNJAB,G.R.P,2004,30
PUNJAB,G.R.P,2005,29
PUNJAB,G.R.P,2002,27
PUNJAB,G.R.P,2003,26
ASSAM,G.R.P.,2006,181
ASSAM,G.R.P.,2004,166
ASSAM,G.R.P.,2011,166
ASSAM,G.R.P.,2008,155
ASSAM,G.R.P.,2010,154
ASSAM,G.R.P.,2012,154
ASSAM,G.R.P.,2009,146
ASSAM,G.R.P.,2001,135
ASSAM,G.R.P.,2005,105
ASSAM,G.R.P.,2007,73
ASSAM,G.R.P.,2002,62
ASSAM,G.R.P.,2003,55
HIMACHAL PRADESH,G.R.P.,2011,7
HIMACHAL PRADESH,G.R.P.,2005,5
HIMACHAL PRADESH,G.R.P.,2007,3
HIMACHAL PRADESH,G.R.P.,2008,3
HIMACHAL PRADESH,G.R.P.,2010,3
HIMACHAL PRADESH,G.R.P.,2012,3
HIMACHAL PRADESH,G.R.P.,2004,2
HIMACHAL PRADESH,G.R.P.,2009,2
HIMACHAL PRADESH,G.R.P.,2001,1
HIMACHAL PRADESH,G.R.P.,2002,1
HIMACHAL PRADESH,G.R.P.,2003,0
HIMACHAL PRADESH,G.R.P.,2006,0
RAJASTHAN,G.R.P.,2001,584
RAJASTHAN,G.R.P.,2004,554
RAJASTHAN,G.R.P.,2006,547
RAJASTHAN,G.R.P.,2009,543
RAJASTHAN,G.R.P.,2003,536
RAJASTHAN,G.R.P.,2002,533
RAJASTHAN,G.R.P.,2007,483
RAJASTHAN,G.R.P.,2005,467
RAJASTHAN,G.R.P.,2008,368
TRIPURA,G.R.P.,2010,3
UTTAR PRADESH,G.R.P.,2001,3141
UTTAR PRADESH,G.R.P.,2011,3043
UTTAR PRADESH,G.R.P.,2002,2845
UTTAR PRADESH,G.R.P.,2003,2487
UTTAR PRADESH,G.R.P.,2010,2412
UTTAR PRADESH,G.R.P.,2004,1966
UTTAR PRADESH,G.R.P.,2012,1836
UTTAR PRADESH,G.R.P.,2008,1521
UTTAR PRADESH,G.R.P.,2007,1279
UTTAR PRADESH,G.R.P.,2009,1267
UTTAR PRADESH,G.R.P.,2005,1102
UTTAR PRADESH,G.R.P.,2006,761
RAJASTHAN,G.R.P. AJMER,2010,386
RAJASTHAN,G.R.P. JODHPUR,2010,91
DELHI UT,G.R.P.(RLY),2001,1430
DELHI UT,G.R.P.(RLY),2002,1280
DELHI UT,G.R.P.(RLY),2004,1071
DELHI UT,G.R.P.(RLY),2005,1053
DELHI UT,G.R.P.(RLY),2003,1015
RAJASTHAN,G.R.P.AJMER,2012,611
RAJASTHAN,G.R.P.AJMER,2011,500
RAJASTHAN,G.R.P.JODHPUR,2011,85
RAJASTHAN,G.R.P.JODHPUR,2012,83
KARNATAKA,GADAG,2008,87
KARNATAKA,GADAG,2006,84
KARNATAKA,GADAG,2002,72
KARNATAKA,GADAG,2011,71
KARNATAKA,GADAG,2007,68
KARNATAKA,GADAG,2005,67
KARNATAKA,GADAG,2004,65
KARNATAKA,GADAG,2009,65
KARNATAKA,GADAG,2012,64
KARNATAKA,GADAG,2003,62
KARNATAKA,GADAG,2010,62
KARNATAKA,GADAG,2001,55
MAHARASHTRA,GADCHIROLI,2009,165
MAHARASHTRA,GADCHIROLI,2007,162
MAHARASHTRA,GADCHIROLI,2004,152
MAHARASHTRA,GADCHIROLI,2012,146
MAHARASHTRA,GADCHIROLI,2005,140
MAHARASHTRA,GADCHIROLI,2003,131
MAHARASHTRA,GADCHIROLI,2001,124
MAHARASHTRA,GADCHIROLI,2006,124
MAHARASHTRA,GADCHIROLI,2010,124
MAHARASHTRA,GADCHIROLI,2008,123
MAHARASHTRA,GADCHIROLI,2002,113
MAHARASHTRA,GADCHIROLI,2011,102
ODISHA,GAJAPATI,2001,40
ODISHA,GAJAPATI,2005,39
ODISHA,GAJAPATI,2009,39
ODISHA,GAJAPATI,2002,36
ODISHA,GAJAPATI,2006,31
ODISHA,GAJAPATI,2007,27
ODISHA,GAJAPATI,2004,26
ODISHA,GAJAPATI,2003,25
ODISHA,GAJAPATI,2011,24
ODISHA,GAJAPATI,2010,23
ODISHA,GAJAPATI,2012,21
ODISHA,GAJAPATI,2008,15
JAMMU & KASHMIR,GANDERBAL,2004,63
JAMMU & KASHMIR,GANDERBAL,2005,60
JAMMU & KASHMIR,GANDERBAL,2007,58
JAMMU & KASHMIR,GANDERBAL,2009,57
JAMMU & KASHMIR,GANDERBAL,2002,53
JAMMU & KASHMIR,GANDERBAL,2003,53
JAMMU & KASHMIR,GANDERBAL,2006,47
JAMMU & KASHMIR,GANDERBAL,2001,44
JAMMU & KASHMIR,GANDERBAL,2011,43
JAMMU & KASHMIR,GANDERBAL,2008,41
JAMMU & KASHMIR,GANDERBAL,2010,32
JAMMU & KASHMIR,GANDERBAL,2012,24
GUJARAT,GANDHINAGAR,2003,617
GUJARAT,GANDHINAGAR,2008,606
GUJARAT,GANDHINAGAR,2001,585
GUJARAT,GANDHINAGAR,2009,572
GUJARAT,GANDHINAGAR,2010,524
GUJARAT,GANDHINAGAR,2002,522
GUJARAT,GANDHINAGAR,2011,447
GUJARAT,GANDHINAGAR,2007,434
GUJARAT,GANDHINAGAR,2004,416
GUJARAT,GANDHINAGAR,2006,403
GUJARAT,GANDHINAGAR,2005,395
GUJARAT,GANDHINAGAR,2012,376
RAJASTHAN,GANGANAGAR,2004,480
RAJASTHAN,GANGANAGAR,2005,454
RAJASTHAN,GANGANAGAR,2002,441
RAJASTHAN,GANGANAGAR,2001,408
RAJASTHAN,GANGANAGAR,2003,389
RAJASTHAN,GANGANAGAR,2007,388
RAJASTHAN,GANGANAGAR,2006,369
RAJASTHAN,GANGANAGAR,2011,365
RAJASTHAN,GANGANAGAR,2010,361
RAJASTHAN,GANGANAGAR,2008,347
RAJASTHAN,GANGANAGAR,2012,311
RAJASTHAN,GANGANAGAR,2009,292
ODISHA,GANJAM,2012,205
ODISHA,GANJAM,2011,186
ODISHA,GANJAM,2004,182
ODISHA,GANJAM,2002,157
ODISHA,GANJAM,2003,157
ODISHA,GANJAM,2006,154
ODISHA,GANJAM,2010,151
ODISHA,GANJAM,2007,149
ODISHA,GANJAM,2005,145
ODISHA,GANJAM,2008,141
ODISHA,GANJAM,2009,141
ODISHA,GANJAM,2001,124
JHARKHAND,GARHWA,2012,91
JHARKHAND,GARHWA,2009,88
JHARKHAND,GARHWA,2006,87
JHARKHAND,GARHWA,2008,85
JHARKHAND,GARHWA,2005,77
JHARKHAND,GARHWA,2007,75
JHARKHAND,GARHWA,2010,69
JHARKHAND,GARHWA,2002,68
JHARKHAND,GARHWA,2004,68
JHARKHAND,GARHWA,2003,67
JHARKHAND,GARHWA,2011,62
JHARKHAND,GARHWA,2001,54
CHHATTISGARH,GARIYABAND,2012,75
CHHATTISGARH,GARIYABAND,2011,38
MEGHALAYA,GARO HILLS EAST,2011,58
MEGHALAYA,GARO HILLS EAST,2012,37
MEGHALAYA,GARO HILLS EAST,2005,33
MEGHALAYA,GARO HILLS EAST,2010,33
MEGHALAYA,GARO HILLS EAST,2007,32
MEGHALAYA,GARO HILLS EAST,2009,30
MEGHALAYA,GARO HILLS EAST,2008,27
MEGHALAYA,GARO HILLS EAST,2002,25
MEGHALAYA,GARO HILLS EAST,2006,25
MEGHALAYA,GARO HILLS EAST,2003,20
MEGHALAYA,GARO HILLS EAST,2004,18
MEGHALAYA,GARO HILLS EAST,2001,16
MEGHALAYA,GARO HILLS SOUTH,2012,40
MEGHALAYA,GARO HILLS SOUTH,2011,38
MEGHALAYA,GARO HILLS SOUTH,2006,18
MEGHALAYA,GARO HILLS SOUTH,2005,17
MEGHALAYA,GARO HILLS SOUTH,2009,14
MEGHALAYA,GARO HILLS SOUTH,2007,12
MEGHALAYA,GARO HILLS SOUTH,2008,12
MEGHALAYA,GARO HILLS SOUTH,2002,11
MEGHALAYA,GARO HILLS SOUTH,2004,9
MEGHALAYA,GARO HILLS SOUTH,2001,8
MEGHALAYA,GARO HILLS SOUTH,2010,8
MEGHALAYA,GARO HILLS SOUTH,2003,7
MEGHALAYA,GARO HILLS WEST,2010,186
MEGHALAYA,GARO HILLS WEST,2011,150
MEGHALAYA,GARO HILLS WEST,2008,142
MEGHALAYA,GARO HILLS WEST,2009,138
MEGHALAYA,GARO HILLS WEST,2012,90
MEGHALAYA,GARO HILLS WEST,2007,57
MEGHALAYA,GARO HILLS WEST,2005,47
MEGHALAYA,GARO HILLS WEST,2002,45
MEGHALAYA,GARO HILLS WEST,2006,41
MEGHALAYA,GARO HILLS WEST,2004,31
MEGHALAYA,GARO HILLS WEST,2001,30
MEGHALAYA,GARO HILLS WEST,2003,24
UTTAR PRADESH,GAUTAMBUDH NAGAR,2011,2967
UTTAR PRADESH,GAUTAMBUDH NAGAR,2012,2912
UTTAR PRADESH,GAUTAMBUDH NAGAR,2010,2844
UTTAR PRADESH,GAUTAMBUDH NAGAR,2009,2298
UTTAR PRADESH,GAUTAMBUDH NAGAR,2008,1703
UTTAR PRADESH,GAUTAMBUDH NAGAR,2007,1349
UTTAR PRADESH,GAUTAMBUDH NAGAR,2005,962
UTTAR PRADESH,GAUTAMBUDH NAGAR,2006,946
UTTAR PRADESH,GAUTAMBUDH NAGAR,2004,826
UTTAR PRADESH,GAUTAMBUDH NAGAR,2001,729
UTTAR PRADESH,GAUTAMBUDH NAGAR,2002,652
UTTAR PRADESH,GAUTAMBUDH NAGAR,2003,425
BIHAR,GAYA,2011,757
BIHAR,GAYA,2010,701
BIHAR,GAYA,2012,687
BIHAR,GAYA,2009,667
BIHAR,GAYA,2008,494
BIHAR,GAYA,2004,461
BIHAR,GAYA,2006,443
BIHAR,GAYA,2007,439
BIHAR,GAYA,2001,416
BIHAR,GAYA,2005,410
BIHAR,GAYA,2003,374
BIHAR,GAYA,2002,348
UTTAR PRADESH,GHAZIABAD,2009,4377
UTTAR PRADESH,GHAZIABAD,2010,3993
UTTAR PRADESH,GHAZIABAD,2011,3108
UTTAR PRADESH,GHAZIABAD,2012,2707
UTTAR PRADESH,GHAZIABAD,2004,1523
UTTAR PRADESH,GHAZIABAD,2005,1387
UTTAR PRADESH,GHAZIABAD,2001,1357
UTTAR PRADESH,GHAZIABAD,2002,1274
UTTAR PRADESH,GHAZIABAD,2008,1141
UTTAR PRADESH,GHAZIABAD,2006,1109
UTTAR PRADESH,GHAZIABAD,2007,1031
UTTAR PRADESH,GHAZIABAD,2003,931
UTTAR PRADESH,GHAZIPUR,2012,173
UTTAR PRADESH,GHAZIPUR,2008,120
UTTAR PRADESH,GHAZIPUR,2009,115
UTTAR PRADESH,GHAZIPUR,2001,107
UTTAR PRADESH,GHAZIPUR,2007,106
UTTAR PRADESH,GHAZIPUR,2006,103
UTTAR PRADESH,GHAZIPUR,2005,102
UTTAR PRADESH,GHAZIPUR,2004,101
UTTAR PRADESH,GHAZIPUR,2011,94
UTTAR PRADESH,GHAZIPUR,2010,88
UTTAR PRADESH,GHAZIPUR,2002,80
UTTAR PRADESH,GHAZIPUR,2003,62
JHARKHAND,GIRIDIH,2012,453
JHARKHAND,GIRIDIH,2011,390
JHARKHAND,GIRIDIH,2008,353
JHARKHAND,GIRIDIH,2006,327
JHARKHAND,GIRIDIH,2005,306
JHARKHAND,GIRIDIH,2009,296
JHARKHAND,GIRIDIH,2010,293
JHARKHAND,GIRIDIH,2007,289
JHARKHAND,GIRIDIH,2003,236
JHARKHAND,GIRIDIH,2002,128
JHARKHAND,GIRIDIH,2004,128
JHARKHAND,GIRIDIH,2001,111
ASSAM,GOALPARA,2012,293
ASSAM,GOALPARA,2011,189
ASSAM,GOALPARA,2007,174
ASSAM,GOALPARA,2009,166
ASSAM,GOALPARA,2003,159
ASSAM,GOALPARA,2010,155
ASSAM,GOALPARA,2008,131
ASSAM,GOALPARA,2005,127
ASSAM,GOALPARA,2001,116
ASSAM,GOALPARA,2002,107
ASSAM,GOALPARA,2004,100
ASSAM,GOALPARA,2006,87
JHARKHAND,GODDA,2008,160
JHARKHAND,GODDA,2007,152
JHARKHAND,GODDA,2009,152
JHARKHAND,GODDA,2012,151
JHARKHAND,GODDA,2010,146
JHARKHAND,GODDA,2006,140
JHARKHAND,GODDA,2003,129
JHARKHAND,GODDA,2002,128
JHARKHAND,GODDA,2004,128
JHARKHAND,GODDA,2005,117
JHARKHAND,GODDA,2011,87
JHARKHAND,GODDA,2001,70
ASSAM,GOLAGHAT,2004,310
ASSAM,GOLAGHAT,2003,296
ASSAM,GOLAGHAT,2007,281
ASSAM,GOLAGHAT,2006,277
ASSAM,GOLAGHAT,2005,261
ASSAM,GOLAGHAT,2002,260
ASSAM,GOLAGHAT,2008,247
ASSAM,GOLAGHAT,2009,239
ASSAM,GOLAGHAT,2012,231
ASSAM,GOLAGHAT,2011,224
ASSAM,GOLAGHAT,2001,211
ASSAM,GOLAGHAT,2010,188
TRIPURA,GOMATI,2012,132
UTTAR PRADESH,GONDA,2012,238
UTTAR PRADESH,GONDA,2011,201
UTTAR PRADESH,GONDA,2006,167
UTTAR PRADESH,GONDA,2010,167
UTTAR PRADESH,GONDA,2001,161
UTTAR PRADESH,GONDA,2007,156
UTTAR PRADESH,GONDA,2002,155
UTTAR PRADESH,GONDA,2009,151
UTTAR PRADESH,GONDA,2008,142
UTTAR PRADESH,GONDA,2005,139
UTTAR PRADESH,GONDA,2004,120
UTTAR PRADESH,GONDA,2003,54
MAHARASHTRA,GONDIA,2006,398
MAHARASHTRA,GONDIA,2005,376
MAHARASHTRA,GONDIA,2011,370
MAHARASHTRA,GONDIA,2008,355
MAHARASHTRA,GONDIA,2009,334
MAHARASHTRA,GONDIA,2001,326
MAHARASHTRA,GONDIA,2010,323
MAHARASHTRA,GONDIA,2002,318
MAHARASHTRA,GONDIA,2004,317
MAHARASHTRA,GONDIA,2007,314
MAHARASHTRA,GONDIA,2003,300
MAHARASHTRA,GONDIA,2012,269
BIHAR,GOPALGANJ,2012,274
BIHAR,GOPALGANJ,2009,226
BIHAR,GOPALGANJ,2011,225
BIHAR,GOPALGANJ,2006,206
BIHAR,GOPALGANJ,2005,205
BIHAR,GOPALGANJ,2010,205
BIHAR,GOPALGANJ,2007,203
BIHAR,GOPALGANJ,2004,163
BIHAR,GOPALGANJ,2001,153
BIHAR,GOPALGANJ,2008,144
BIHAR,GOPALGANJ,2002,120
BIHAR,GOPALGANJ,2003,89
UTTAR PRADESH,GORAKHPUR,2011,1179
UTTAR PRADESH,GORAKHPUR,2010,1126
UTTAR PRADESH,GORAKHPUR,2012,971
UTTAR PRADESH,GORAKHPUR,2009,862
UTTAR PRADESH,GORAKHPUR,2008,480
UTTAR PRADESH,GORAKHPUR,2005,367
UTTAR PRADESH,GORAKHPUR,2004,357
UTTAR PRADESH,GORAKHPUR,2007,348
UTTAR PRADESH,GORAKHPUR,2006,318
UTTAR PRADESH,GORAKHPUR,2002,226
UTTAR PRADESH,GORAKHPUR,2003,215
UTTAR PRADESH,GORAKHPUR,2001,192
HARYANA,GRP,2011,520
HARYANA,GRP,2008,497
HARYANA,GRP,2010,473
HARYANA,GRP,2009,467
HARYANA,GRP,2012,429
HARYANA,GRP,2007,427
HARYANA,GRP,2006,267
HARYANA,GRP,2002,203
HARYANA,GRP,2005,195
HARYANA,GRP,2004,180
HARYANA,GRP,2001,169
HARYANA,GRP,2003,149
TRIPURA,GRP,2012,5
TRIPURA,GRP,2011,3
CHHATTISGARH,GRP RAIPUR,2010,329
CHHATTISGARH,GRP RAIPUR,2009,271
CHHATTISGARH,GRP RAIPUR,2005,238
CHHATTISGARH,GRP RAIPUR,2006,230
CHHATTISGARH,GRP RAIPUR,2004,223
CHHATTISGARH,GRP RAIPUR,2002,207
CHHATTISGARH,GRP RAIPUR,2003,198
CHHATTISGARH,GRP RAIPUR,2001,197
CHHATTISGARH,GRP RAIPUR,2012,196
CHHATTISGARH,GRP RAIPUR,2008,195
CHHATTISGARH,GRP RAIPUR,2011,193
CHHATTISGARH,GRP RAIPUR,2007,186
DELHI UT,GRP(RLY),2006,945
DELHI UT,GRP(RLY),2008,821
DELHI UT,GRP(RLY),2007,795
DELHI UT,GRP(RLY),2011,746
DELHI UT,GRP(RLY),2009,725
DELHI UT,GRP(RLY),2010,647
DELHI UT,GRP(RLY),2012,630
KARNATAKA,GULBARGA,2011,383
KARNATAKA,GULBARGA,2010,349
KARNATAKA,GULBARGA,2012,313
KARNATAKA,GULBARGA,2009,305
KARNATAKA,GULBARGA,2008,297
KARNATAKA,GULBARGA,2005,290
KARNATAKA,GULBARGA,2006,278
KARNATAKA,GULBARGA,2001,268
KARNATAKA,GULBARGA,2007,262
KARNATAKA,GULBARGA,2002,258
KARNATAKA,GULBARGA,2004,251
KARNATAKA,GULBARGA,2003,190
JHARKHAND,GUMLA,2012,119
JHARKHAND,GUMLA,2009,106
JHARKHAND,GUMLA,2011,100
JHARKHAND,GUMLA,2008,97
JHARKHAND,GUMLA,2007,91
JHARKHAND,GUMLA,2006,89
JHARKHAND,GUMLA,2010,76
JHARKHAND,GUMLA,2005,61
JHARKHAND,GUMLA,2002,58
JHARKHAND,GUMLA,2004,58
JHARKHAND,GUMLA,2001,56
JHARKHAND,GUMLA,2003,56
MADHYA PRADESH,GUNA,2002,372
MADHYA PRADESH,GUNA,2001,350
MADHYA PRADESH,GUNA,2012,317
MADHYA PRADESH,GUNA,2011,305
MADHYA PRADESH,GUNA,2004,271
MADHYA PRADESH,GUNA,2005,269
MADHYA PRADESH,GUNA,2007,263
MADHYA PRADESH,GUNA,2008,261
MADHYA PRADESH,GUNA,2003,254
MADHYA PRADESH,GUNA,2006,247
MADHYA PRADESH,GUNA,2009,219
MADHYA PRADESH,GUNA,2010,217
ANDHRA PRADESH,GUNTAKAL RLY.,2012,268
ANDHRA PRADESH,GUNTAKAL RLY.,2011,227
ANDHRA PRADESH,GUNTAKAL RLY.,2010,221
ANDHRA PRADESH,GUNTAKAL RLY.,2003,209
ANDHRA PRADESH,GUNTAKAL RLY.,2004,177
ANDHRA PRADESH,GUNTAKAL RLY.,2009,169
ANDHRA PRADESH,GUNTAKAL RLY.,2001,162
ANDHRA PRADESH,GUNTAKAL RLY.,2002,148
ANDHRA PRADESH,GUNTAKAL RLY.,2006,140
ANDHRA PRADESH,GUNTAKAL RLY.,2005,129
ANDHRA PRADESH,GUNTAKAL RLY.,2008,122
ANDHRA PRADESH,GUNTAKAL RLY.,2007,119
ANDHRA PRADESH,GUNTUR,2004,1479
ANDHRA PRADESH,GUNTUR,2006,1349
ANDHRA PRADESH,GUNTUR,2005,1266
ANDHRA PRADESH,GUNTUR,2008,1233
ANDHRA PRADESH,GUNTUR,2009,1186
ANDHRA PRADESH,GUNTUR,2002,1182
ANDHRA PRADESH,GUNTUR,2003,1173
ANDHRA PRADESH,GUNTUR,2007,1128
ANDHRA PRADESH,GUNTUR,2001,1122
ANDHRA PRADESH,GUNTUR,2012,708
ANDHRA PRADESH,GUNTUR,2011,691
ANDHRA PRADESH,GUNTUR,2010,648
ANDHRA PRADESH,GUNTUR URBAN,2012,904
ANDHRA PRADESH,GUNTUR URBAN,2011,850
ANDHRA PRADESH,GUNTUR URBAN,2010,743
PUNJAB,GURDASPUR,2008,142
PUNJAB,GURDASPUR,2009,125
PUNJAB,GURDASPUR,2007,120
PUNJAB,GURDASPUR,2010,98
PUNJAB,GURDASPUR,2012,94
PUNJAB,GURDASPUR,2005,79
PUNJAB,GURDASPUR,2006,72
PUNJAB,GURDASPUR,2002,62
PUNJAB,GURDASPUR,2004,59
PUNJAB,GURDASPUR,2011,50
PUNJAB,GURDASPUR,2001,38
PUNJAB,GURDASPUR,2003,30
HARYANA,GURGAON,2012,3529
HARYANA,GURGAON,2011,3345
HARYANA,GURGAON,2010,3124
HARYANA,GURGAON,2008,2843
HARYANA,GURGAON,2009,2469
HARYANA,GURGAON,2007,2230
HARYANA,GURGAON,2006,2090
HARYANA,GURGAON,2005,1462
HARYANA,GURGAON,2004,1045
HARYANA,GURGAON,2003,817
HARYANA,GURGAON,2001,794
HARYANA,GURGAON,2002,772
ASSAM,GUWAHATI CITY,2012,2426
ASSAM,GUWAHATI CITY,2011,2236
ASSAM,GUWAHATI CITY,2010,2036
ASSAM,GUWAHATI CITY,2007,1941
ASSAM,GUWAHATI CITY,2006,1822
ASSAM,GUWAHATI CITY,2009,1728
ASSAM,GUWAHATI CITY,2005,1389
ASSAM,GUWAHATI CITY,2003,1157
ASSAM,GUWAHATI CITY,2002,1136
ASSAM,GUWAHATI CITY,2008,1129
ASSAM,GUWAHATI CITY,2004,867
ASSAM,GUWAHATI CITY,2001,736
MADHYA PRADESH,GWALIOR,2011,2120
MADHYA PRADESH,GWALIOR,2012,2116
MADHYA PRADESH,GWALIOR,2010,2044
MADHYA PRADESH,GWALIOR,2008,1897
MADHYA PRADESH,GWALIOR,2009,1849
MADHYA PRADESH,GWALIOR,2007,1623
MADHYA PRADESH,GWALIOR,2006,1581
MADHYA PRADESH,GWALIOR,2005,1378
MADHYA PRADESH,GWALIOR,2004,1350
MADHYA PRADESH,GWALIOR,2003,967
MADHYA PRADESH,GWALIOR,2001,925
MADHYA PRADESH,GWALIOR,2002,872
ASSAM,HAILAKANDI,2012,149
ASSAM,HAILAKANDI,2011,124
ASSAM,HAILAKANDI,2008,122
ASSAM,HAILAKANDI,2010,120
ASSAM,HAILAKANDI,2002,110
ASSAM,HAILAKANDI,2006,99
ASSAM,HAILAKANDI,2001,92
ASSAM,HAILAKANDI,2003,80
ASSAM,HAILAKANDI,2009,77
ASSAM,HAILAKANDI,2007,71
ASSAM,HAILAKANDI,2005,66
ASSAM,HAILAKANDI,2004,47
HIMACHAL PRADESH,HAMIRPUR,2008,75
HIMACHAL PRADESH,HAMIRPUR,2007,67
HIMACHAL PRADESH,HAMIRPUR,2006,48
HIMACHAL PRADESH,HAMIRPUR,2004,42
HIMACHAL PRADESH,HAMIRPUR,2005,42
HIMACHAL PRADESH,HAMIRPUR,2009,42
HIMACHAL PRADESH,HAMIRPUR,2010,37
HIMACHAL PRADESH,HAMIRPUR,2011,35
HIMACHAL PRADESH,HAMIRPUR,2012,33
HIMACHAL PRADESH,HAMIRPUR,2002,28
HIMACHAL PRADESH,HAMIRPUR,2003,25
HIMACHAL PRADESH,HAMIRPUR,2001,17
UTTAR PRADESH,HAMIRPUR,2001,110
UTTAR PRADESH,HAMIRPUR,2012,72
UTTAR PRADESH,HAMIRPUR,2002,69
UTTAR PRADESH,HAMIRPUR,2011,69
UTTAR PRADESH,HAMIRPUR,2010,67
UTTAR PRADESH,HAMIRPUR,2004,55
UTTAR PRADESH,HAMIRPUR,2005,53
UTTAR PRADESH,HAMIRPUR,2003,41
UTTAR PRADESH,HAMIRPUR,2009,40
UTTAR PRADESH,HAMIRPUR,2006,33
UTTAR PRADESH,HAMIRPUR,2008,23
UTTAR PRADESH,HAMIRPUR,2007,13
ASSAM,HAMREN,2012,36
JAMMU & KASHMIR,HANDWARA,2007,58
JAMMU & KASHMIR,HANDWARA,2011,57
JAMMU & KASHMIR,HANDWARA,2010,47
JAMMU & KASHMIR,HANDWARA,2012,46
JAMMU & KASHMIR,HANDWARA,2005,41
JAMMU & KASHMIR,HANDWARA,2006,37
JAMMU & KASHMIR,HANDWARA,2009,33
JAMMU & KASHMIR,HANDWARA,2004,32
JAMMU & KASHMIR,HANDWARA,2003,29
JAMMU & KASHMIR,HANDWARA,2008,29
JAMMU & KASHMIR,HANDWARA,2002,23
RAJASTHAN,HANUMANGARH,2003,377
RAJASTHAN,HANUMANGARH,2001,348
RAJASTHAN,HANUMANGARH,2002,343
RAJASTHAN,HANUMANGARH,2004,336
RAJASTHAN,HANUMANGARH,2006,245
RAJASTHAN,HANUMANGARH,2005,238
RAJASTHAN,HANUMANGARH,2012,230
RAJASTHAN,HANUMANGARH,2009,204
RAJASTHAN,HANUMANGARH,2008,201
RAJASTHAN,HANUMANGARH,2007,199
RAJASTHAN,HANUMANGARH,2010,188
RAJASTHAN,HANUMANGARH,2011,183
MADHYA PRADESH,HARDA,2006,167
MADHYA PRADESH,HARDA,2007,158
MADHYA PRADESH,HARDA,2009,128
MADHYA PRADESH,HARDA,2012,124
MADHYA PRADESH,HARDA,2008,117
MADHYA PRADESH,HARDA,2010,113
MADHYA PRADESH,HARDA,2011,99
MADHYA PRADESH,HARDA,2004,95
MADHYA PRADESH,HARDA,2005,93
MADHYA PRADESH,HARDA,2003,83
MADHYA PRADESH,HARDA,2001,74
MADHYA PRADESH,HARDA,2002,68
UTTAR PRADESH,HARDOI,2001,267
UTTAR PRADESH,HARDOI,2012,246
UTTAR PRADESH,HARDOI,2009,231
UTTAR PRADESH,HARDOI,2004,229
UTTAR PRADESH,HARDOI,2005,209
UTTAR PRADESH,HARDOI,2011,182
UTTAR PRADESH,HARDOI,2008,176
UTTAR PRADESH,HARDOI,2007,163
UTTAR PRADESH,HARDOI,2002,159
UTTAR PRADESH,HARDOI,2006,150
UTTAR PRADESH,HARDOI,2010,139
UTTAR PRADESH,HARDOI,2003,129
UTTARAKHAND,HARIDWAR,2006,707
UTTARAKHAND,HARIDWAR,2011,633
UTTARAKHAND,HARIDWAR,2012,619
UTTARAKHAND,HARIDWAR,2008,491
UTTARAKHAND,HARIDWAR,2010,474
UTTARAKHAND,HARIDWAR,2007,472
UTTARAKHAND,HARIDWAR,2005,455
UTTARAKHAND,HARIDWAR,2002,430
UTTARAKHAND,HARIDWAR,2004,401
UTTARAKHAND,HARIDWAR,2009,391
